0110111,U,---
0010111,U,---
1101111,J,---
1100111,I,000
1100011,B,000
1100011,B,001
1100011,B,100
1100011,B,101
1100011,B,110
1100011,B,111
0000011,I,000
0000011,I,001
0000011,I,010
0000011,I,100
0000011,I,101
0100011,S,000
0100011,S,001
0100011,S,010
0010011,I,000
0010011,I,010
0010011,I,011
0010011,I,100
0010011,I,110
0010011,I,111
0010011,I,001
0010011,I,101
0010011,I,101
0110011,R,000
0110011,R,000
0110011,R,001
0110011,R,010
0110011,R,011
0110011,R,100
0110011,R,101
0110011,R,101
0110011,R,110
0110011,R,111
0001111,I,000
0001111,I,001
1110011,I,000
1110011,I,000
1110011,I,001
1110011,I,010
1110011,I,011
1110011,I,101
1110011,I,110
1110011,I,111
